uuid,year,type,collection,title,handle_url,pdf_count,pdf_names,pdf_mb,pdf_urls,non_pdf_count,has_text_bundle
da7d8df3-7de4-4889-a854-f8387c26a678,2018,conferenceObject,1.1 Eventos institucionales,ORCID y su integración en los repositorios académicos: Caso de la Universidad Peruana de Ciencias Aplicadas UPC,https://hdl.handle.net/20.500.12390/67,1,CONCYTEC0000044.pdf,2.5,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/b2e972ae-6f54-4a3b-87a5-6adf0493278c/content,0,True
e506f9ce-af80-4e84-ab18-2dc45ef0eb21,2021,report,1.1 Eventos institucionales,"Reporte de la Encuesta Nacional de Innovación (2012-2015-2018): esfuerzos y resultados de la pequeña, mediana y gran empresa",https://hdl.handle.net/20.500.12390/2262,1,Reporte_Encuesta_Nacional_de_Innovación_2012-2015-2018.pdf,1.3,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/6e013f9c-80ab-4776-523c-a4a9600b5fd6/content,0,True
4e9e204b-28ac-41c0-9017-3d7cae16057b,2017,book,1.1 Eventos institucionales,I Censo Nacional de Investigación y Desarrollo a Centros de Investigación 2016,https://hdl.handle.net/20.500.12390/2227,1,libro_censo_nacional.pdf,2.0,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/1c9f068f-062c-e65a-19e0-0fb0c6193f4b/content,0,True
c0b321a7-187e-4842-ba80-674b68ac0470,2019,report,1.1 Eventos institucionales,Clubes de ciencia y tecnología: informe ejecutivo,https://hdl.handle.net/20.500.12390/2220,1,clubes_ciencia_tecnologia.pdf,2.1,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/3eaa6e93-a8ca-0095-7ddd-63d2218e476d/content,0,True
1b7d9e21-df14-4a50-85ff-0b6fa80dd14c,2025,conferenceObject,1.1 Eventos institucionales,Gestión de datos de investigación,https://hdl.handle.net/20.500.12390/3706,1,Datos de Investigación (18JUN2025).pdf,2.3,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/7b185b40-1ffe-48bd-a686-369fe01c91e6/content,0,True
fd93a7a0-2333-4d80-b38e-6bb07804c265,1992,book,1.2 Publicaciones institucionales,Perú el libro de los minerales maravillosos,https://hdl.handle.net/20.500.12390/3816,0,,0.0,,0,True
8f7da7a1-d8a9-4be9-9f2e-bf9f7ecfda6b,2015,report,1.1 Eventos institucionales,Diagnóstico de la demanda de las empresas para la innovación tecnológica y la capacidad de oferta a corto y mediano plazo - Entregable 2,https://hdl.handle.net/20.500.12390/392,1,20150130_CONCYTEC_005_E2_v3-1.pdf,8.1,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/4a9e129d-cef4-8c26-7d22-ef459cd3fc3f/content,0,True
3ae36dcc-ab5d-4fe2-bfce-5f6e2899ed75,2020,book,1.1 Eventos institucionales,"Covid-19: ciencia, participación social y decisiones políticas",https://hdl.handle.net/20.500.12390/2205,1,Libro_Covid-19_ciencia_participación_social_y_decisiones_políticas.pdf,10.0,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/d5b5c777-170f-1a00-3f15-a531ccba6547/content,0,True
caa24560-d186-49c6-943f-c92d933b857c,2023,report,1.1 Eventos institucionales,Estrategias sobre la percepción post pandemia de la ciencia y tecnología en escolares de la costa y sierra del Perú que favorezcan su apropiación pública,https://hdl.handle.net/20.500.12390/3218,1,Estrategias-percepcion-2023.pdf,4.2,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/941a3073-c80d-42b0-87c1-9636d2eb1bd1/content,0,True
22d78e07-6b60-4f4d-863a-b1e4ff1e2491,2021,report,1.1 Eventos institucionales,Guía que establece la estructura del modelo de evaluación de impacto de instrumentos financieros de CTI: la teoría de cambio para el diseño y evaluación de instrumentos financieros de CTI,https://hdl.handle.net/20.500.12390/2264,1,1er_Guía_que_establece_Estructura_del_modelo_de_Evaluaciones_ Impacto_IF_CTI.pdf,2.9,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/27f796a7-d69b-3ab1-1a58-d311052df212/content,0,True
a3ccd8a4-86e4-4c30-b01c-bf20d01e5af2,1993,book,1.2 Publicaciones institucionales,Subvenciones: Investigaciones y actividades en ejecución y finales,https://hdl.handle.net/20.500.12390/3820,0,,0.0,,0,True
f0265502-3e80-431c-9f7a-3ba021cd7b0f,2004,book,1.2 Publicaciones institucionales,La sierra: Primera prioridad para salir del subdesarrollo agrario,https://hdl.handle.net/20.500.12390/3715,0,,0.0,,0,False
a2b0ccb3-3bbe-4dae-9591-73d432054250,2025,article,1.1 Eventos institucionales,Aplicación móvil para la detección de objetos sospechosos mediante visión computacional,https://hdl.handle.net/20.500.12390/3712,3,Aplicación Móvil para la Detección de Objetos [Póster] 19Jun2025.pdf; Anexo Nº 1- Autorizacion[1]J.pdf; Anexo Nº 1- Autorizacion[1]O.pdf,0.8,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/312d476d-5dd4-4930-a961-3e9238141ff4/content; https://repositorio.concytec.gob.pe/server/api/core/bitstreams/4a2b71ae-3b49-4711-b13e-8e84d96b5699/content; https://repositorio.concytec.gob.pe/server/api/core/bitstreams/13dfeb67-09ee-4a76-87f3-7be91bc66c99/content,0,True
64e0f1c7-b7f2-45cc-9397-4a0a4a3ba30b,2022,conferenceObject,1.1 Eventos institucionales,El espacio de Información de la investigación de Flandes: un sistema regional CRIS indispensable para supervisar eficazmente los progresos de la ciencia abierta,https://hdl.handle.net/20.500.12390/3112,1,HatumTinkuy2022_VancauwenberghS.pdf,1.5,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/77289da2-bc53-8686-cd3b-b8e9c6eaae20/content,0,True
9f49f8bb-721c-48b2-b1db-ce591bc83cfc,1989,book,1.2 Publicaciones institucionales,Tecnología Nuclear: Seminario Internacional Cincuentenario del Descubrimiento de la Fisión Nuclear,https://hdl.handle.net/20.500.12390/3833,0,,0.0,,0,True
0afaa422-da26-410e-97fd-f44b7b2b77a6,2019,technicalDocumentation,1.1 Eventos institucionales,"Análisis de la calidad de metadatos en el Repositorio Nacional Digital de Ciencia, Tecnología e Innovación de Acceso Abierto – ALICIA",https://hdl.handle.net/20.500.12390/399,1,talavera_cf_calidad__metadatos_ALICIA.pdf,1.3,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/043833fc-0481-456e-2fdf-d1251de00c9a/content,0,True
e6e5b348-79e3-470f-ab9d-4bb1030a5527,2019,conferenceObject,1.1 Eventos institucionales,Ley de Promoción del Investigador Científico,https://hdl.handle.net/20.500.12390/456,1,1_grandez_pv-RENARE-Tarapoto2019.pdf,1.9,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/a381e1ba-8a0f-41d6-f4d4-1f9c80a25629/content,0,True
